STATE,STATEFIPS,COUNTY,COUNTYFIPS,FIPS,YEAR,TP-TotPop,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-RecWW,IR-CUsFr,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IC-WGWFr,IC-WSWFr,IC-WFrTo,IC-CUsFr,IC-IrSpr,IC-IrMic,IC-IrSur,IC-IrTot
GA,13,Gordon County,129,13129,2015,56.574,0.10,1.07,1.17,--,1.17,1.81,0.00,0.00,1.81,0.10,0.98,1.08,1.08,1.72,0.00,0.00,1.72
GA,13,Grady County,131,13131,2015,25.205,3.69,1.84,5.53,--,5.53,15.83,1.25,0.00,17.08,3.59,1.84,5.43,5.43,15.73,1.25,0.00,16.98
GA,13,Greene County,133,13133,2015,16.710,0.26,0.88,1.14,--,1.14,0.91,0.00,0.00,0.91,0.26,0.00,0.26,0.26,0.06,0.00,0.00,0.06
GA,13,Gwinnett County,135,13135,2015,895.823,0.06,1.28,1.34,--,1.34,1.30,0.00,0.00,1.30,0.02,0.00,0.02,0.02,0.03,0.00,0.00,0.03
GA,13,Habersham County,137,13137,2015,43.996,0.02,0.20,0.22,--,0.22,0.27,0.00,0.00,0.27,0.02,0.20,0.22,0.22,0.27,0.00,0.00,0.27
GA,13,Hall County,139,13139,2015,193.535,0.32,0.36,0.68,--,0.68,0.84,0.00,0.00,0.84,0.06,0.03,0.09,0.09,0.12,0.00,0.00,0.12
GA,13,Hancock County,141,13141,2015,8.551,0.45,0.11,0.56,--,0.56,0.31,0.00,0.00,0.31,0.45,0.11,0.56,0.56,0.31,0.00,0.00,0.31
GA,13,Haralson County,143,13143,2015,28.854,0.00,0.14,0.14,--,0.14,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Harris County,145,13145,2015,33.381,0.00,0.03,0.03,--,0.03,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Hart County,147,13147,2015,25.534,0.21,0.71,0.92,--,0.92,1.07,0.00,0.00,1.07,0.21,0.54,0.75,0.75,0.91,0.00,0.00,0.91
GA,13,Heard County,149,13149,2015,11.539,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Henry County,151,13151,2015,217.739,0.97,0.58,1.55,--,1.55,1.82,0.00,0.00,1.82,0.00,0.06,0.06,0.06,0.39,0.00,0.00,0.39
GA,13,Houston County,153,13153,2015,150.033,5.67,0.36,6.03,--,6.03,13.04,1.14,0.00,14.18,5.39,0.14,5.53,5.53,12.56,1.14,0.00,13.70
GA,13,Irwin County,155,13155,2015,9.245,8.46,7.32,15.78,--,15.78,35.66,1.01,0.00,36.67,8.32,7.32,15.64,15.64,35.53,1.01,0.00,36.54
GA,13,Jackson County,157,13157,2015,63.360,0.07,0.22,0.29,--,0.29,0.30,0.00,0.00,0.30,0.07,0.02,0.09,0.09,0.11,0.00,0.00,0.11
GA,13,Jasper County,159,13159,2015,13.635,0.33,0.04,0.37,--,0.37,0.18,0.00,0.00,0.18,0.33,0.04,0.37,0.37,0.18,0.00,0.00,0.18
GA,13,Jeff Davis County,161,13161,2015,14.920,1.46,0.87,2.33,--,2.33,11.01,0.02,0.00,11.03,1.43,0.87,2.30,2.30,10.98,0.02,0.00,11.00
GA,13,Jefferson County,163,13163,2015,16.106,14.27,1.60,15.87,--,15.87,24.84,0.54,0.00,25.38,14.24,1.60,15.84,15.84,24.81,0.54,0.00,25.35
GA,13,Jenkins County,165,13165,2015,8.957,5.30,1.55,6.85,--,6.85,11.78,0.08,0.00,11.86,5.30,1.55,6.85,6.85,11.78,0.08,0.00,11.86
GA,13,Johnson County,167,13167,2015,9.656,0.91,0.07,0.98,--,0.98,3.18,0.00,0.00,3.18,0.91,0.07,0.98,0.98,3.18,0.00,0.00,3.18
GA,13,Jones County,169,13169,2015,28.494,0.00,0.16,0.16,--,0.16,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Lamar County,171,13171,2015,18.201,1.02,0.08,1.10,--,1.10,0.57,0.00,0.00,0.57,1.02,0.00,1.02,1.02,0.49,0.00,0.00,0.49
GA,13,Lanier County,173,13173,2015,10.312,1.35,0.03,1.38,--,1.38,3.81,1.44,0.00,5.25,1.35,0.03,1.38,1.38,3.81,1.44,0.00,5.25
GA,13,Laurens County,175,13175,2015,47.731,2.96,0.93,3.89,--,3.89,10.07,0.04,0.00,10.11,2.79,0.88,3.67,3.67,9.86,0.04,0.00,9.90
GA,13,Lee County,177,13177,2015,29.202,23.45,3.81,27.26,--,27.26,41.96,0.87,0.00,42.83,23.45,3.81,27.26,27.26,41.96,0.87,0.00,42.83
GA,13,Liberty County,179,13179,2015,62.467,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Lincoln County,181,13181,2015,7.673,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Long County,183,13183,2015,17.731,0.00,0.05,0.05,--,0.05,0.87,0.02,0.00,0.89,0.00,0.05,0.05,0.05,0.87,0.02,0.00,0.89
GA,13,Lowndes County,185,13185,2015,112.865,1.55,0.48,2.03,--,2.03,6.83,1.49,0.00,8.32,1.38,0.22,1.60,1.60,6.42,1.49,0.00,7.91
GA,13,Lumpkin County,187,13187,2015,31.408,0.19,0.02,0.21,--,0.21,0.20,0.00,0.00,0.20,0.09,0.02,0.11,0.11,0.10,0.00,0.00,0.10
GA,13,McDuffie County,189,13189,2015,21.540,0.16,0.27,0.43,--,0.43,0.25,0.47,0.00,0.72,0.16,0.02,0.18,0.18,0.01,0.47,0.00,0.48
GA,13,McIntosh County,191,13191,2015,13.969,0.16,0.00,0.16,--,0.16,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Macon County,193,13193,2015,13.632,9.33,2.65,11.98,--,11.98,24.88,0.65,0.00,25.53,9.33,2.65,11.98,11.98,24.88,0.65,0.00,25.53
GA,13,Madison County,195,13195,2015,28.441,0.00,0.19,0.19,--,0.19,0.18,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Marion County,197,13197,2015,8.761,0.21,0.64,0.85,--,0.85,4.43,0.00,0.00,4.43,0.21,0.64,0.85,0.85,4.43,0.00,0.00,4.43
GA,13,Meriwether County,199,13199,2015,21.190,0.09,0.09,0.18,--,0.18,0.30,0.00,0.00,0.30,0.09,0.04,0.13,0.13,0.25,0.00,0.00,0.25
GA,13,Miller County,201,13201,2015,5.854,34.69,0.53,35.22,--,35.22,56.78,0.04,0.00,56.82,34.69,0.53,35.22,35.22,56.78,0.04,0.00,56.82
GA,13,Mitchell County,205,13205,2015,22.574,50.19,1.85,52.04,--,52.04,81.79,6.24,0.00,88.03,50.15,1.85,52.00,52.00,81.75,6.24,0.00,87.99
GA,13,Monroe County,207,13207,2015,27.103,0.25,0.18,0.43,--,0.43,0.43,0.00,0.00,0.43,0.09,0.01,0.10,0.10,0.12,0.00,0.00,0.12
GA,13,Montgomery County,209,13209,2015,8.951,0.61,0.40,1.01,--,1.01,3.17,0.11,0.00,3.28,0.61,0.24,0.85,0.85,3.02,0.11,0.00,3.13
GA,13,Morgan County,211,13211,2015,18.046,0.03,1.47,1.50,--,1.50,1.67,0.00,0.00,1.67,0.03,1.05,1.08,1.08,1.27,0.00,0.00,1.27
GA,13,Murray County,213,13213,2015,39.565,0.00,0.19,0.19,--,0.19,0.30,0.00,0.00,0.30,0.00,0.19,0.19,0.19,0.30,0.00,0.00,0.30
GA,13,Muscogee County,215,13215,2015,200.579,0.10,0.31,0.41,--,0.41,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Newton County,217,13217,2015,105.473,0.22,0.31,0.53,--,0.53,0.69,0.00,0.00,0.69,0.01,0.02,0.03,0.03,0.21,0.00,0.00,0.21
GA,13,Oconee County,219,13219,2015,35.965,3.26,0.18,3.44,--,3.44,1.49,0.00,0.00,1.49,3.26,0.00,3.26,3.26,1.31,0.00,0.00,1.31
GA,13,Oglethorpe County,221,13221,2015,14.871,0.23,0.04,0.27,--,0.27,0.34,0.00,0.00,0.34,0.23,0.04,0.27,0.27,0.34,0.00,0.00,0.34
GA,13,Paulding County,223,13223,2015,152.238,0.13,0.46,0.59,--,0.59,0.46,0.00,0.00,0.46,0.13,0.00,0.13,0.13,0.02,0.00,0.00,0.02
GA,13,Peach County,225,13225,2015,26.720,4.10,0.17,4.27,--,4.27,9.69,1.71,0.00,11.40,4.10,0.17,4.27,4.27,9.69,1.71,0.00,11.40
GA,13,Pickens County,227,13227,2015,30.309,0.00,0.09,0.09,--,0.09,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Pierce County,229,13229,2015,19.103,3.22,0.56,3.78,--,3.78,12.34,0.35,0.00,12.69,3.15,0.56,3.71,3.71,12.27,0.35,0.00,12.62
GA,13,Pike County,231,13231,2015,17.941,0.00,1.15,1.15,--,1.15,1.52,0.00,0.00,1.52,0.00,0.90,0.90,0.90,1.28,0.00,0.00,1.28
GA,13,Polk County,233,13233,2015,41.524,0.16,0.00,0.16,--,0.16,0.15,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Pulaski County,235,13235,2015,11.396,7.72,2.62,10.34,--,10.34,24.18,0.19,0.00,24.37,7.72,2.62,10.34,10.34,24.18,0.19,0.00,24.37
GA,13,Putnam County,237,13237,2015,21.353,0.20,0.15,0.35,--,0.35,0.49,0.00,0.00,0.49,0.20,0.05,0.25,0.25,0.39,0.00,0.00,0.39
GA,13,Quitman County,239,13239,2015,2.302,0.00,0.05,0.05,--,0.05,0.24,0.00,0.00,0.24,0.00,0.05,0.05,0.05,0.24,0.00,0.00,0.24
GA,13,Rabun County,241,13241,2015,16.281,0.00,0.26,0.26,--,0.26,0.28,0.00,0.00,0.28,0.00,0.01,0.01,0.01,0.02,0.00,0.00,0.02
GA,13,Randolph County,243,13243,2015,7.193,8.53,9.28,17.81,--,17.81,27.86,0.14,0.00,28.00,8.53,9.24,17.77,17.77,27.83,0.14,0.00,27.97
GA,13,Richmond County,245,13245,2015,201.793,0.16,0.43,0.59,--,0.59,1.15,0.00,0.00,1.15,0.01,0.00,0.01,0.01,0.66,0.00,0.00,0.66
GA,13,Rockdale County,247,13247,2015,88.856,0.06,0.52,0.58,--,0.58,0.55,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Schley County,249,13249,2015,5.168,0.07,0.08,0.15,--,0.15,1.30,0.11,0.00,1.41,0.07,0.04,0.11,0.11,1.26,0.11,0.00,1.37
GA,13,Screven County,251,13251,2015,14.162,10.84,2.17,13.01,--,13.01,23.86,0.79,0.00,24.65,10.80,2.13,12.93,12.93,23.78,0.79,0.00,24.57
GA,13,Seminole County,253,13253,2015,8.647,43.93,0.33,44.26,--,44.26,52.43,0.51,0.00,52.94,43.76,0.33,44.09,44.09,52.27,0.51,0.00,52.78
GA,13,Spalding County,255,13255,2015,64.051,0.19,0.09,0.28,--,0.28,0.45,0.00,0.00,0.45,0.02,0.01,0.03,0.03,0.21,0.00,0.00,0.21
GA,13,Stephens County,257,13257,2015,25.586,0.31,0.00,0.31,--,0.31,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Stewart County,259,13259,2015,5.851,0.04,0.67,0.71,--,0.71,3.37,0.05,0.00,3.42,0.04,0.67,0.71,0.71,3.37,0.05,0.00,3.42
GA,13,Sumter County,261,13261,2015,30.779,14.73,5.84,20.57,--,20.57,44.00,0.40,0.00,44.40,14.66,5.84,20.50,20.50,43.94,0.40,0.00,44.34
GA,13,Talbot County,263,13263,2015,6.337,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Taliaferro County,265,13265,2015,1.639,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Tattnall County,267,13267,2015,25.229,2.66,4.30,6.96,--,6.96,16.78,1.41,0.00,18.19,2.56,4.30,6.86,6.86,16.68,1.41,0.00,18.09
GA,13,Taylor County,269,13269,2015,8.330,0.01,0.28,0.29,--,0.29,0.32,0.00,0.00,0.32,0.01,0.28,0.29,0.29,0.32,0.00,0.00,0.32
GA,13,Telfair County,271,13271,2015,16.400,2.03,0.35,2.38,--,2.38,9.94,0.30,0.00,10.24,2.03,0.35,2.38,2.38,9.94,0.30,0.00,10.24
GA,13,Terrell County,273,13273,2015,9.113,9.75,5.14,14.89,--,14.89,29.81,0.25,0.00,30.06,9.75,5.11,14.86,14.86,29.78,0.25,0.00,30.03
GA,13,Thomas County,275,13275,2015,45.063,3.25,0.44,3.69,--,3.69,12.90,1.03,0.00,13.93,3.09,0.44,3.53,3.53,12.75,1.03,0.00,13.78
GA,13,Tift County,277,13277,2015,40.764,6.71,5.73,12.44,--,12.44,23.63,1.44,0.00,25.07,6.43,5.73,12.16,12.16,23.36,1.44,0.00,24.80
GA,13,Toombs County,279,13279,2015,27.241,4.41,4.02,8.43,--,8.43,14.42,0.59,0.00,15.01,4.38,3.96,8.34,8.34,14.33,0.59,0.00,14.92
GA,13,Towns County,281,13281,2015,11.182,0.00,0.09,0.09,--,0.09,0.09,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Treutlen County,283,13283,2015,6.785,0.67,1.06,1.73,--,1.73,1.82,0.03,0.00,1.85,0.67,1.06,1.73,1.73,1.82,0.03,0.00,1.85
GA,13,Troup County,285,13285,2015,69.763,0.00,0.08,0.08,--,0.08,0.08,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Turner County,287,13287,2015,8.214,7.38,4.10,11.48,--,11.48,30.38,0.85,0.00,31.23,7.28,4.07,11.35,11.35,30.25,0.85,0.00,31.10
GA,13,Twiggs County,289,13289,2015,8.390,1.22,0.04,1.26,--,1.26,2.44,0.00,0.00,2.44,1.22,0.04,1.26,1.26,2.44,0.00,0.00,2.44
GA,13,Union County,291,13291,2015,22.267,0.00,0.19,0.19,--,0.19,0.19,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Upson County,293,13293,2015,26.368,0.00,0.40,0.40,--,0.40,0.95,0.00,0.00,0.95,0.00,0.40,0.40,0.40,0.95,0.00,0.00,0.95
GA,13,Walker County,295,13295,2015,68.066,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Walton County,297,13297,2015,88.399,1.68,0.76,2.44,--,2.44,1.22,0.00,0.00,1.22,1.68,0.46,2.14,2.14,0.93,0.00,0.00,0.93
GA,13,Ware County,299,13299,2015,35.370,0.55,0.82,1.37,--,1.37,4.46,1.15,0.00,5.61,0.34,0.82,1.16,1.16,4.26,1.15,0.00,5.41
GA,13,Warren County,301,13301,2015,5.460,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Washington County,303,13303,2015,20.816,0.99,0.25,1.24,--,1.24,7.18,1.38,0.00,8.56,0.99,0.21,1.20,1.20,7.14,1.38,0.00,8.52
GA,13,Wayne County,305,13305,2015,29.534,2.00,0.25,2.25,--,2.25,6.45,0.07,0.00,6.52,1.96,0.25,2.21,2.21,6.41,0.07,0.00,6.48
GA,13,Webster County,307,13307,2015,2.648,0.95,3.42,4.37,--,4.37,10.83,0.25,0.00,11.08,0.95,3.42,4.37,4.37,10.83,0.25,0.00,11.08
GA,13,Wheeler County,309,13309,2015,7.903,1.35,0.64,1.99,--,1.99,4.85,0.00,0.00,4.85,1.16,0.64,1.80,1.80,4.67,0.00,0.00,4.67
GA,13,White County,311,13311,2015,28.319,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Whitfield County,313,13313,2015,104.216,0.00,0.13,0.13,--,0.13,0.13,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GA,13,Wilcox County,315,13315,2015,8.857,6.32,2.13,8.45,--,8.45,19.19,0.90,0.00,20.09,6.32,2.13,8.45,8.45,19.19,0.90,0.00,20.09
GA,13,Wilkes County,317,13317,2015,9.867,0.05,0.01,0.06,--,0.06,0.03,0.00,0.00,0.03,0.05,0.01,0.06,0.06,0.03,0.00,0.00,0.03
GA,13,Wilkinson County,319,13319,2015,9.155,0.04,0.00,0.04,--,0.04,0.24,0.00,0.00,0.24,0.04,0.00,0.04,0.04,0.24,0.00,0.00,0.24
GA,13,Worth County,321,13321,2015,20.699,18.76,4.73,23.49,--,23.49,50.23,0.66,0.00,50.89,18.72,4.73,23.45,23.45,50.19,0.66,0.00,50.85
HI,15,Hawaii County,001,15001,2015,196.428,14.47,12.19,26.66,--,22.38,2.70,36.40,0.00,39.10,--,--,--,--,--,--,--,--
HI,15,Honolulu County,003,15003,2015,998.714,15.09,68.65,83.74,--,68.74,5.19,21.52,0.00,26.71,--,--,--,--,--,--,--,--
HI,15,Kalawao County,005,15005,2015,0.089,0.00,0.00,0.00,--,0.00,0.00,0.00,0.00,0.00,--,--,--,--,--,--,--,--
HI,15,Kauai County,007,15007,2015,71.735,1.88,23.97,25.85,--,21.68,1.56,18.78,0.00,20.34,--,--,--,--,--,--,--,--
HI,15,Maui County,009,15009,2015,164.637,42.36,206.45,248.81,--,209.83,2.18,46.73,0.00,48.91,--,--,--,--,--,--,--,--
ID,16,Ada County,001,16001,2015,434.211,38.20,186.28,224.48,--,108.29,15.56,0.00,25.89,41.45,35.35,185.57,220.92,105.62,13.94,0.00,25.89,39.83
ID,16,Adams County,003,16003,2015,3.843,0.99,34.06,35.05,--,16.30,2.31,0.00,5.30,7.61,0.70,34.06,34.76,16.08,2.16,0.00,5.30,7.46
ID,16,Bannock County,005,16005,2015,83.744,41.97,176.55,218.52,--,130.80,35.40,0.00,14.32,49.72,41.41,176.55,217.96,130.38,35.06,0.00,14.32,49.38
ID,16,Bear Lake County,007,16007,2015,5.922,2.69,250.46,253.15,--,137.99,27.75,0.00,20.86,48.61,2.53,250.46,252.99,137.87,27.65,0.00,20.86,48.51
ID,16,Benewah County,009,16009,2015,9.052,1.23,9.07,10.30,--,5.21,1.30,0.00,1.59,2.89,1.12,9.07,10.19,5.13,1.25,0.00,1.59,2.84
ID,16,Bingham County,011,16011,2015,44.990,421.08,420.84,841.92,--,580.65,230.67,0.00,25.61,256.28,420.84,420.84,841.68,580.47,230.52,0.00,25.61,256.13
ID,16,Blaine County,013,16013,2015,21.592,75.93,139.37,215.30,--,121.35,34.74,0.00,21.02,55.76,75.05,139.37,214.42,120.69,34.30,0.00,21.02,55.32
ID,16,Boise County,015,16015,2015,7.058,0.24,3.57,3.81,--,2.01,0.51,0.00,0.44,0.95,0.04,3.57,3.61,1.86,0.41,0.00,0.44,0.85
ID,16,Bonner County,017,16017,2015,41.859,1.62,5.65,7.27,--,3.85,1.17,0.00,1.03,2.20,0.77,5.65,6.42,3.21,0.78,0.00,1.03,1.81
ID,16,Bonneville County,019,16019,2015,110.089,193.40,578.28,771.68,--,511.67,163.46,0.00,28.78,192.24,192.76,578.28,771.04,511.19,163.07,0.00,28.78,191.85
ID,16,Boundary County,021,16021,2015,11.318,50.53,85.85,136.38,--,65.96,13.20,0.00,22.39,35.59,50.42,85.85,136.27,65.88,13.15,0.00,22.39,35.54
ID,16,Butte County,023,16023,2015,2.501,99.38,91.74,191.12,--,114.33,36.65,0.00,14.97,51.62,99.38,91.74,191.12,114.33,36.65,0.00,14.97,51.62
ID,16,Camas County,025,16025,2015,1.066,190.55,127.03,317.58,--,176.44,48.05,0.00,32.03,80.08,190.55,127.03,317.58,176.44,48.05,0.00,32.03,80.08
ID,16,Canyon County,027,16027,2015,207.478,211.99,706.07,918.06,--,439.81,58.52,1.70,110.48,170.70,210.78,705.66,916.44,438.60,57.79,1.70,110.48,169.97
ID,16,Caribou County,029,16029,2015,6.770,71.82,376.21,448.03,--,264.35,68.02,0.00,30.52,98.54,71.66,376.21,447.87,264.23,67.92,0.00,30.52,98.44
ID,16,Cassia County,031,16031,2015,23.506,574.21,398.81,973.02,--,603.15,194.68,0.00,61.43,256.11,573.89,398.81,972.70,602.91,194.53,0.00,61.43,255.96
ID,16,Clark County,033,16033,2015,0.880,52.06,92.55,144.61,--,83.59,25.53,0.00,13.15,38.68,52.06,92.55,144.61,83.59,25.53,0.00,13.15,38.68
ID,16,Clearwater County,035,16035,2015,8.496,4.96,27.46,32.42,--,17.80,5.78,0.00,4.15,9.93,4.85,27.46,32.31,17.72,5.73,0.00,4.15,9.88
ID,16,Custer County,037,16037,2015,4.087,7.71,75.91,83.62,--,42.39,8.78,0.00,10.61,19.39,7.51,75.91,83.42,42.24,8.68,0.00,10.61,19.29
ID,16,Elmore County,039,16039,2015,25.876,94.87,282.98,377.85,--,260.61,82.67,0.00,9.16,91.83,94.33,282.98,377.31,260.21,82.43,0.00,9.16,91.59
ID,16,Franklin County,041,16041,2015,13.074,24.61,281.22,305.83,--,195.23,59.77,0.00,14.92,74.69,24.45,281.22,305.67,195.11,59.67,0.00,14.92,74.59
ID,16,Fremont County,043,16043,2015,12.819,55.19,310.45,365.64,--,235.18,92.88,0.00,21.73,114.61,54.79,310.45,365.24,234.88,92.64,0.00,21.73,114.37
ID,16,Gem County,045,16045,2015,16.852,7.46,139.69,147.15,--,61.78,2.12,0.00,18.62,20.74,7.35,139.69,147.04,61.70,2.07,0.00,18.62,20.69
ID,16,Gooding County,047,16047,2015,15.284,102.12,306.03,408.15,--,226.77,58.19,0.00,38.76,96.95,102.01,306.03,408.04,226.69,58.14,0.00,38.76,96.90
ID,16,Idaho County,049,16049,2015,16.272,1.89,87.34,89.23,--,46.30,12.18,0.00,12.63,24.81,1.78,87.34,89.12,46.22,12.13,0.00,12.63,24.76
ID,16,Jefferson County,051,16051,2015,27.157,309.95,309.78,619.73,--,344.33,98.44,0.00,65.53,163.97,309.78,309.78,619.56,344.20,98.29,0.00,65.53,163.82
ID,16,Jerome County,053,16053,2015,22.814,70.15,466.58,536.73,--,342.64,113.28,0.00,28.27,141.55,69.72,466.58,536.30,342.32,113.08,0.00,28.27,141.35
ID,16,Kootenai County,055,16055,2015,150.346,29.24,56.48,85.72,--,55.01,24.67,0.00,5.86,30.53,26.58,56.48,83.06,53.02,23.45,0.00,5.86,29.31
ID,16,Latah County,057,16057,2015,38.778,117.20,65.74,182.94,--,88.04,17.71,0.00,31.22,48.93,116.88,65.74,182.62,87.80,17.56,0.00,31.22,48.78
ID,16,Lemhi County,059,16059,2015,7.735,1.92,88.97,90.89,--,44.97,8.47,0.00,12.12,20.59,1.82,88.97,90.79,44.90,8.42,0.00,12.12,20.54
ID,16,Lewis County,061,16061,2015,3.789,11.32,35.86,47.18,--,25.87,8.00,0.00,5.80,13.80,11.32,35.86,47.18,25.87,8.00,0.00,5.80,13.80
ID,16,Lincoln County,063,16063,2015,5.297,94.44,154.09,248.53,--,138.07,33.17,0.00,22.11,55.28,94.44,154.09,248.53,138.07,33.17,0.00,22.11,55.28
ID,16,Madison County,065,16065,2015,38.273,105.89,258.47,364.36,--,239.74,108.81,0.00,20.69,129.50,105.57,258.47,364.04,239.50,108.61,0.00,20.69,129.30
ID,16,Minidoka County,067,16067,2015,20.461,482.02,334.81,816.83,--,533.31,200.18,0.00,40.98,241.16,481.80,334.81,816.61,533.15,200.08,0.00,40.98,241.06
ID,16,Nez Perce County,069,16069,2015,40.048,11.08,140.13,151.21,--,79.98,23.23,0.00,21.22,44.45,10.55,140.13,150.68,79.58,22.99,0.00,21.22,44.21
ID,16,Oneida County,071,16071,2015,4.281,323.52,411.75,735.27,--,430.82,102.75,0.00,48.35,151.10,323.52,411.75,735.27,430.82,102.75,0.00,48.35,151.10
ID,16,Owyhee County,073,16073,2015,11.310,116.07,657.75,773.82,--,419.04,86.51,0.00,67.97,154.48,116.07,657.75,773.82,419.04,86.51,0.00,67.97,154.48
ID,16,Payette County,075,16075,2015,22.896,42.75,382.75,425.50,--,183.25,9.89,0.70,59.46,70.05,42.53,382.75,425.28,183.09,9.79,0.70,59.46,69.95
ID,16,Power County,077,16077,2015,7.648,345.62,194.37,539.99,--,391.30,184.78,0.00,7.70,192.48,345.54,194.37,539.91,391.24,184.73,0.00,7.70,192.43
ID,16,Shoshone County,079,16079,2015,12.432,0.42,0.67,1.09,--,0.81,0.46,0.00,0.00,0.46,0.10,0.67,0.77,0.57,0.31,0.00,0.00,0.31
ID,16,Teton County,081,16081,2015,10.564,97.90,307.76,405.66,--,249.74,89.87,0.00,29.81,119.68,97.19,307.76,404.95,249.20,89.43,0.00,29.81,119.24
ID,16,Twin Falls County,083,16083,2015,82.375,330.66,988.75,1319.41,--,688.64,148.93,0.00,148.44,297.37,329.58,988.75,1318.33,687.83,148.44,0.00,148.44,296.88
ID,16,Valley County,085,16085,2015,10.103,0.91,12.45,13.36,--,6.29,1.05,0.00,1.99,3.04,0.13,12.45,12.58,5.70,0.66,0.00,1.99,2.65
ID,16,Washington County,087,16087,2015,9.984,83.00,331.54,414.54,--,204.12,26.71,0.68,41.01,68.40,82.89,331.54,414.43,204.04,26.66,0.68,41.01,68.35
IL,17,Adams County,001,17001,2015,67.013,0.72,0.28,1.00,0.00,1.00,4.85,0.00,0.00,4.85,0.72,0.00,0.72,0.72,4.64,0.00,0.00,4.64
IL,17,Alexander County,003,17003,2015,6.780,2.37,0.00,2.37,0.00,2.37,3.97,0.00,0.00,3.97,2.37,0.00,2.37,2.37,3.97,0.00,0.00,3.97
IL,17,Bond County,005,17005,2015,16.950,0.00,0.01,0.01,0.00,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IL,17,Boone County,007,17007,2015,53.585,0.73,0.13,0.86,0.00,0.86,1.69,0.00,0.00,1.69,0.60,0.00,0.60,0.60,1.51,0.00,0.00,1.51
IL,17,Brown County,009,17009,2015,6.829,0.00,0.02,0.02,0.00,0.02,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01
IL,17,Bureau County,011,17011,2015,33.587,5.73,0.19,5.92,0.00,5.92,12.42,0.00,0.00,12.42,5.60,0.06,5.66,5.66,12.20,0.00,0.00,12.20
IL,17,Calhoun County,013,17013,2015,4.899,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IL,17,Carroll County,015,17015,2015,14.616,1.09,0.04,1.13,0.00,1.13,9.78,0.00,0.00,9.78,1.05,0.00,1.05,1.05,9.69,0.00,0.00,9.69
IL,17,Cass County,017,17017,2015,12.847,9.15,0.23,9.38,0.00,9.38,25.56,0.00,0.00,25.56,9.15,0.23,9.38,9.38,25.56,0.00,0.00,25.56
IL,17,Champaign County,019,17019,2015,208.861,4.39,0.22,4.61,0.00,4.61,15.01,0.00,0.00,15.01,4.17,0.00,4.17,4.17,14.62,0.00,0.00,14.62
